Wavenumber (cm^-1)	Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF (V)	Valid:Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF
1039.85872576177	4.40970140665067e-4	1
1040.85595567867	4.40771386094455e-4	1
1041.85318559557	4.39738464613849e-4	1
1042.85041551247	4.40855706215321e-4	1
1043.84764542936	4.40964117799291e-4	1
1044.84487534626	4.22805177484262e-4	0
1045.84210526316	4.09973461948219e-4	1
1046.83933518006	4.17297266731992e-4	1
1047.83656509695	4.12376585392895e-4	0
1048.83379501385	4.0841655114509e-4	1
1049.83102493075	4.07573349936432e-4	1
1050.82825484765	3.9946958403465e-4	1
1051.82548476454	4.18291039585053e-4	1
1052.82271468144	3.96659917150086e-4	0
1053.81994459834	3.97906650365745e-4	1
1054.81717451524	3.83780018687834e-4	1
1055.81440443214	3.97876536036864e-4	1
1056.81163434903	3.97545278419177e-4	0
1057.80886426593	3.97545278419177e-4	1
1058.80609418283	3.92838408815132e-4	1
1059.80332409973	3.77151854901204e-4	0
1060.80055401662	3.60058961828549e-4	1
1061.79778393352	3.68975814610108e-4	1
1062.79501385042	3.80395168121649e-4	0
1063.79224376732	3.80395168121649e-4	1
1064.78947368421	3.6281141148824e-4	1
1065.78670360111	3.64573099727758e-4	1
1066.78393351801	3.57697998444307e-4	1
1067.78116343491	3.5700838031294e-4	1
1068.7783933518	3.46155176184355e-4	0
1069.7756232687	3.59534972506026e-4	1
1070.7728531856	3.480614132025e-4	1
1071.7700831025	3.55373172254721e-4	1
1072.76731301939	3.46414159412729e-4	1
1073.76454293629	3.39274052035128e-4	1
1074.76177285319	3.33766141282858e-4	1
1075.75900277009	3.24984802981262e-4	0
1076.75623268698	3.39388486484874e-4	1
1077.75346260388	3.58080450421091e-4	1
1078.75069252078	3.37671969738678e-4	1
1079.74792243768	3.28207036171491e-4	1
1080.74515235457	3.33151808973693e-4	1
1081.74238227147	3.25063100236351e-4	1
1082.73961218837	3.23156863218206e-4	1
1083.73684210527	3.28649716806036e-4	1
1084.73407202217	3.39496898068845e-4	1
1085.73130193906	3.46004604539952e-4	1
1086.72853185596	3.25084180266568e-4	1
1087.72576177286	3.24822185605306e-4	1
1088.72299168976	3.21711375431935e-4	1
1089.72022160665	3.03528343653802e-4	1
1090.71745152355	2.97610878028755e-4	1
1091.71468144045	2.92319790444425e-4	1
1092.71191135735	2.99706835318848e-4	1
1093.70914127424	3.05326169087976e-4	1
1094.70637119114	2.91455509205551e-4	1
1095.70360110804	2.72206430185042e-4	1
1096.70083102494	2.60019161287045e-4	1
1097.69806094183	2.71414423335481e-4	0
1098.69529085873	2.55128594276828e-4	1
1099.69252077563	2.60651562193539e-4	1
1100.68975069253	2.66803919583855e-4	1
1101.68698060942	2.59440966172537e-4	1
1102.68421052632	2.38180249982801e-4	1
1103.68144044322	2.33973278238175e-4	0
1104.67867036012	2.2813109843533e-4	1
1105.67590027701	2.22827965119448e-4	1
1106.67313019391	2.27065051192955e-4	1
1107.67036011081	2.16344350111445e-4	1
1108.66759002771	2.09604763307957e-4	1
1109.6648199446	1.98212512692408e-4	1
1110.6620498615	1.93053928155154e-4	1
1111.6592797784	1.97239819869564e-4	1
1112.6565096953	1.97200671242019e-4	1
1113.6537396122	1.81782134855128e-4	1
1114.65096952909	1.79129062480743e-4	1
1115.64819944599	1.82860227829055e-4	1
