#cm^-1	mean CaF2 5%
1173	7.385367716779013e-5
1174	7.927665574243292e-5
1175	8.601981317042362e-5
1176	7.444500006386074e-5
1177	7.946194746182303e-5
1178	7.574422852485431e-5
1179	7.781933163641951e-5
1180	7.76224464061669e-5
1181	7.918601768324141e-5
1182	8.059231113293219e-5
1183	6.98300878866576e-5
1184	8.182275341823693e-5
1185	7.822641346137956e-5
1186	8.051424665609364e-5
1187	7.764457477605899e-5
1188	7.790443632984533e-5
1189	7.933761880849483e-5
1190	7.844298015697858e-5
1191	7.691139398957601e-5
1192	8.54249388794416e-5
1193	7.715387328062213e-5
1194	7.213122735265644e-5
1195	7.193348064902236e-5
1196	7.191098920884551e-5
1197	7.504553359467518e-5
1198	7.035166272544313e-5
1199	7.104478863766417e-5
1200	7.244904554681861e-5
1201	7.251529532368312e-5
1202	7.314514150493785e-5
1203	7.349219522438938e-5
1204	7.227171954582447e-5
1205	7.14785135642159e-5
1206	7.477012186427607e-5
1207	7.162021283875218e-5
1208	7.387665245914824e-5
1209	7.317807830986578e-5
1210	6.739578166161654e-5
1211	7.063569210004069e-5
1212	7.363011754932818e-5
1213	7.113727333489814e-5
1214	6.579951295861977e-5
1215	6.16393408563454e-5
1216	6.040429361746645e-5
1217	6.666397457593122e-5
1218	6.186701502883807e-5
1219	5.931044870521875e-5
1220	6.743129633832725e-5
1221	7.053429944789968e-5
1222	7.085940960678272e-5
1223	7.34349036065396e-5
1224	7.44650613341946e-5
1225	6.88975866069086e-5
1226	6.909905132488354e-5
1227	7.389608654193592e-5
1228	7.182915433077141e-5
1229	7.375672430498517e-5
1230	7.516772093367774e-5
1231	7.320454387809157e-5
1232	7.396417277050209e-5
1233	7.358066213782868e-5
1234	7.826255023246622e-5
1235	7.814745913492508e-5
1236	7.273324299603701e-5
1237	7.541645609308044e-5
1238	7.196507576736625e-5
1239	7.660130650037901e-5
1240	7.3818773671519e-5
1241	7.377056026598433e-5
1242	7.718549022683872e-5
1243	6.977103985263976e-5
1244	8.176989358616991e-5
1245	7.816039942554191e-5
1246	7.986150085343979e-5
1247	7.986143464222553e-5
1248	7.968568534124642e-5
1249	7.816916258889237e-5
1250	7.720312569290401e-5
1251	8.149733766913419e-5
1252	8.117405377561233e-5
1253	7.96926040493418e-5
1254	7.586024439660828e-5
1255	8.0808041821001e-5
1256	7.924960591481082e-5
1257	7.528003843617628e-5
1258	7.788845614413723e-5
1259	8.102673964458524e-5
1260	8.172164525603877e-5
1261	8.167576743289835e-5
1262	8.189083018805828e-5
1263	7.358303701039413e-5
1264	7.885632003308293e-5
1265	7.432889397023241e-5
1266	7.595961433253246e-5
1267	8.28708150947932e-5
1268	8.006762873264946e-5
1269	7.035422167973591e-5
1270	7.335048212553383e-5
1271	7.43506891012658e-5
1272	7.514934404753141e-5
1273	7.015285955276339e-5
1274	7.708985649514954e-5
1275	7.550647496827885e-5
1276	7.706345859332938e-5
1277	7.294330280274144e-5
1278	7.922844524728127e-5
1279	7.361485477304083e-5
1280	7.525088876718665e-5
1281	7.829442838556142e-5
1282	8.70680465595796e-5
1283	7.8290815872606e-5
1284	8.21001864096616e-5
1285	7.446715317200869e-5
1286	6.690626614727079e-5
1287	6.174414156703279e-5
1288	6.101634207880123e-5
1289	6.096573197282853e-5
1290	5.366023688111455e-5
1291	5.997103726258502e-5
1292	6.474162000813521e-5
1293	6.312289842753672e-5
1294	7.144662231439718e-5
1295	6.39513717032969e-5
1296	7.262623475980946e-5
1297	7.114441687008368e-5
1298	7.109927246347071e-5
1299	7.29008672351484e-5
1300	7.25095007510391e-5
1301	7.317545096157116e-5
1302	7.299141143448645e-5
1303	7.675073211430578e-5
1304	7.678325491724546e-5
1305	7.568773653474629e-5
1306	7.349950319621713e-5
1307	7.381385003100153e-5
1308	7.272339717019341e-5
1309	7.695535459788502e-5
1310	8.227111975429571e-5
1311	7.835106371203441e-5
1312	7.405690776067797e-5
1313	7.174875427153892e-5
1314	7.636075315531342e-5
1315	7.813717384124165e-5
1316	8.107874164124947e-5
1317	7.185947833931997e-5
1318	7.149220982682894e-5
1319	6.903467874508352e-5
1320	7.221633277367803e-5
1321	7.344727564486678e-5
1322	7.599450327688839e-5
1323	7.411135811707934e-5
1324	7.405436845147043e-5
1325	7.044265148579146e-5
1326	7.050966596580111e-5
1327	7.76142784161492e-5
1328	7.33533837774303e-5
1329	6.801038180128673e-5
1330	7.770485681248831e-5
1331	7.246840177685965e-5
1332	7.099869544617833e-5
1333	8.469601962133317e-5
1334	8.135646639857442e-5
1335	8.015473285922784e-5
1336	7.935359899420296e-5
1337	7.728100026724865e-5
1338	6.784741635783577e-5
1339	7.027397659840064e-5
1340	7.531017618020997e-5
1341	7.524297179770652e-5
1342	7.675310771446676e-5
1343	7.552926545031371e-5
1344	7.817351142875842e-5
1345	7.360742019955069e-5
1346	6.361847481457516e-5
1347	7.141944370232526e-5
1348	6.762979028280826e-5
1349	7.194748541223816e-5
