Wavenumber	BacVan30_1	BacVan30_2	BacVan30_3	BacVan30_4	BacVan30_5	BacVan30_6	Control30_1	Control30_2	Control30_3	Control30_4	Control30_5	Control30_6
912	0.195247	0.240228	0.208	0.10028	0.122204	0.143975	0.225399	0.16666	0.212827	0.123041	0.136258	0.155782
914	0.201561	0.241004	0.212658	0.099403	0.132854	0.149704	0.210261	0.174193	0.221969	0.121372	0.130689	0.148341
916	0.197963	0.236307	0.21498	0.10349	0.133434	0.164098	0.208338	0.174464	0.215254	0.121255	0.12736	0.146322
918	0.194784	0.245345	0.223017	0.108534	0.129347	0.160744	0.215222	0.171758	0.212902	0.110893	0.1292	0.152772
920	0.196884	0.2418	0.219453	0.11147	0.123995	0.156194	0.208156	0.164245	0.2166	0.102642	0.123752	0.165774
922	0.19569	0.239354	0.211146	0.10779	0.121166	0.149799	0.203772	0.164113	0.211295	0.107771	0.111537	0.166085
924	0.191685	0.241042	0.20759	0.0997465	0.114779	0.151672	0.19911	0.150588	0.208725	0.103726	0.111908	0.151592
926	0.186407	0.242955	0.20601	0.096188	0.112055	0.149471	0.207132	0.137717	0.207	0.104623	0.12647	0.146691
928	0.19404	0.23213	0.20676	0.0988598	0.118648	0.1525	0.208911	0.147949	0.205927	0.108127	0.136269	0.153191
930	0.194475	0.222877	0.204022	0.104515	0.122457	0.160694	0.20683	0.151403	0.203217	0.108612	0.13778	0.15492
932	0.185802	0.220416	0.194662	0.0986422	0.112263	0.155986	0.197384	0.143201	0.203567	0.118215	0.135067	0.151662
934	0.174522	0.213844	0.19387	0.0898645	0.121679	0.154893	0.20191	0.158833	0.210071	0.120346	0.129445	0.138506
936	0.168747	0.213403	0.195808	0.094239	0.117395	0.155942	0.1949	0.166862	0.199706	0.11224	0.125324	0.122634
938	0.163434	0.210037	0.194729	0.0980884	0.118956	0.152706	0.200005	0.16389	0.201113	0.107853	0.1151	0.126856
940	0.166308	0.212126	0.193139	0.0955857	0.110649	0.144447	0.204002	0.163453	0.205158	0.106638	0.129909	0.130521
942	0.173511	0.210527	0.191473	0.0934232	0.103272	0.130706	0.201844	0.162483	0.203643	0.112668	0.139922	0.131974
944	0.174898	0.214154	0.188598	0.0880036	0.10402	0.139915	0.195444	0.162284	0.199995	0.118413	0.136071	0.137885
946	0.180522	0.221416	0.189518	0.0901813	0.111386	0.149846	0.198338	0.165061	0.204074	0.119867	0.139128	0.141799
948	0.181033	0.229986	0.198526	0.10116	0.118404	0.155434	0.203376	0.167449	0.213575	0.125022	0.147638	0.151594
950	0.184371	0.232395	0.206611	0.107538	0.11943	0.150237	0.211087	0.167905	0.21562	0.136571	0.150425	0.159874
952	0.192736	0.240224	0.210776	0.114634	0.117952	0.152815	0.218838	0.17684	0.218304	0.128597	0.142618	0.159718
954	0.201276	0.251638	0.20951	0.120854	0.123943	0.157045	0.229777	0.183333	0.230071	0.124867	0.143792	0.17013
956	0.199205	0.26009	0.20906	0.117244	0.127602	0.161564	0.238102	0.1872	0.242565	0.132173	0.151535	0.178262
958	0.196282	0.268601	0.223811	0.117333	0.127244	0.164666	0.237049	0.187686	0.254081	0.140114	0.155713	0.190328
960	0.20034	0.269962	0.229169	0.113768	0.134462	0.165526	0.237298	0.181301	0.25421	0.134242	0.163868	0.192951
962	0.209905	0.267346	0.227768	0.112837	0.131496	0.168762	0.235913	0.177301	0.256798	0.12714	0.162639	0.183408
964	0.205993	0.27313	0.223183	0.114467	0.121458	0.163309	0.236828	0.175232	0.247474	0.12344	0.162604	0.179519
966	0.204902	0.278468	0.216382	0.115731	0.116877	0.162373	0.234015	0.172971	0.243974	0.125395	0.168771	0.178091
968	0.20802	0.276929	0.215071	0.112643	0.116185	0.158244	0.246118	0.184199	0.237478	0.119389	0.156831	0.169187
970	0.207559	0.268761	0.215658	0.107365	0.121549	0.155352	0.238057	0.183506	0.240695	0.122905	0.157344	0.167737
972	0.201871	0.262432	0.208904	0.11346	0.124051	0.156054	0.232875	0.185144	0.235825	0.119733	0.162073	0.162282
974	0.194911	0.263207	0.203192	0.118107	0.120998	0.156255	0.227005	0.182708	0.230298	0.119254	0.155989	0.165997
976	0.19279	0.266877	0.200109	0.111529	0.126883	0.152259	0.231778	0.181936	0.228445	0.123582	0.142667	0.172989
978	0.209013	0.274804	0.215139	0.118349	0.13529	0.164184	0.246841	0.191419	0.239073	0.135631	0.158349	0.182829
980	0.220094	0.280219	0.225405	0.123007	0.141031	0.172329	0.25713	0.197896	0.246331	0.143861	0.16906	0.18955
982	0.228143	0.284152	0.232862	0.12639	0.145202	0.178246	0.264603	0.202601	0.251604	0.149839	0.17684	0.194432
984	0.233425	0.287326	0.236668	0.131007	0.148903	0.186046	0.267133	0.207622	0.260148	0.154108	0.177168	0.198499
986	0.243977	0.296125	0.243902	0.138902	0.155447	0.194353	0.278977	0.215747	0.269676	0.160388	0.18518	0.207872
988	0.256718	0.31133	0.255294	0.144311	0.162402	0.199801	0.299658	0.227903	0.281316	0.170972	0.196559	0.216929
990	0.26292	0.324885	0.269308	0.148751	0.165278	0.206227	0.314408	0.240299	0.292885	0.178414	0.204522	0.231406
992	0.26708	0.328094	0.27726	0.152901	0.172172	0.21251	0.32271	0.246026	0.302546	0.18689	0.215424	0.239239
994	0.274329	0.336131	0.285017	0.154222	0.170106	0.218261	0.327197	0.252031	0.307967	0.18995	0.220816	0.243451
996	0.280509	0.347133	0.287915	0.152638	0.171121	0.222828	0.330007	0.253453	0.310329	0.187913	0.225563	0.243062
998	0.285281	0.355875	0.286813	0.16017	0.175386	0.226218	0.337711	0.257392	0.313852	0.194653	0.228994	0.246847
1000	0.28697	0.366764	0.287394	0.164515	0.177097	0.227982	0.345446	0.260509	0.319205	0.197976	0.229231	0.254035
1002	0.290028	0.371265	0.293241	0.163972	0.176273	0.228611	0.353212	0.260456	0.330998	0.198856	0.232276	0.259596
1004	0.294286	0.378724	0.298489	0.166604	0.178455	0.233321	0.36425	0.262466	0.340833	0.206375	0.233163	0.264915
1006	0.303021	0.388981	0.3096	0.171319	0.184177	0.240735	0.376139	0.269249	0.352733	0.211298	0.238577	0.271768
1008	0.309529	0.401121	0.317929	0.178123	0.188602	0.249279	0.384116	0.277579	0.36152	0.215833	0.248884	0.280947
1010	0.322542	0.41232	0.324521	0.182262	0.191647	0.257353	0.397048	0.290041	0.371505	0.226781	0.264864	0.291947
1012	0.331606	0.427371	0.331145	0.188414	0.201196	0.263357	0.408337	0.298901	0.384854	0.23395	0.274353	0.300503
1014	0.34152	0.443609	0.34475	0.194415	0.208449	0.271013	0.424601	0.3069	0.400145	0.242947	0.279427	0.318268
1016	0.349724	0.460974	0.359097	0.200681	0.217855	0.282784	0.446422	0.313768	0.415756	0.254631	0.290043	0.329723
1018	0.367154	0.479639	0.376619	0.208168	0.22665	0.292577	0.464761	0.328078	0.430994	0.26642	0.302897	0.338728
1020	0.383419	0.50294	0.39179	0.215854	0.236749	0.308742	0.481898	0.343673	0.445203	0.274781	0.312211	0.349442
1022	0.40186	0.524373	0.409264	0.223863	0.242843	0.3198	0.506334	0.357511	0.464079	0.285404	0.324546	0.368132
1024	0.417965	0.544328	0.430682	0.235762	0.254492	0.330713	0.52676	0.373215	0.479732	0.295324	0.338778	0.380675
1026	0.436095	0.564417	0.446348	0.252151	0.268292	0.346098	0.543715	0.389021	0.498077	0.306755	0.346661	0.395798
1028	0.45794	0.587323	0.461371	0.263191	0.277353	0.363386	0.564647	0.403353	0.517753	0.316222	0.366728	0.408342
1030	0.476534	0.611552	0.479491	0.271946	0.286544	0.381573	0.587342	0.418555	0.538216	0.33353	0.382151	0.430132
1032	0.492043	0.63766	0.498258	0.282304	0.299283	0.393133	0.607315	0.434799	0.562776	0.351366	0.39707	0.452417
1034	0.510467	0.659115	0.519664	0.293905	0.316443	0.406204	0.637005	0.453839	0.59112	0.363391	0.412366	0.469685
1036	0.531319	0.680981	0.541438	0.303364	0.329726	0.421851	0.66147	0.469381	0.612656	0.374758	0.426781	0.485922
1038	0.547257	0.707725	0.555835	0.315174	0.341897	0.438498	0.680877	0.484143	0.628482	0.386557	0.440724	0.497705
1040	0.557017	0.730604	0.571555	0.325409	0.350989	0.450211	0.700356	0.495137	0.644098	0.397779	0.448929	0.509803
1042	0.56552	0.745554	0.58053	0.335917	0.354881	0.459845	0.720646	0.51061	0.658083	0.405117	0.457861	0.51957
1044	0.581861	0.758697	0.591935	0.342199	0.36598	0.474744	0.731732	0.522699	0.674929	0.410761	0.465739	0.530013
1046	0.597131	0.769659	0.606436	0.348922	0.37718	0.486268	0.745386	0.531506	0.687866	0.416408	0.471204	0.546161
1048	0.606908	0.783753	0.615373	0.352952	0.385391	0.494201	0.762811	0.538962	0.699708	0.421022	0.482933	0.563839
1050	0.617591	0.804004	0.621471	0.357247	0.388253	0.501664	0.776569	0.550363	0.714606	0.429081	0.498881	0.56534
1052	0.629319	0.816327	0.631212	0.366191	0.393976	0.509434	0.785499	0.562681	0.730579	0.438137	0.502984	0.572118
1054	0.643429	0.824946	0.639595	0.373107	0.406494	0.519925	0.796264	0.575745	0.745546	0.447015	0.506179	0.582103
1056	0.654613	0.838397	0.650301	0.378211	0.416625	0.533597	0.810906	0.583717	0.758688	0.452271	0.516017	0.594705
1058	0.654707	0.849903	0.660992	0.385176	0.420057	0.540006	0.821227	0.59195	0.765556	0.456242	0.524341	0.605014
1060	0.658513	0.859094	0.670351	0.392884	0.421867	0.541777	0.829629	0.603793	0.772011	0.462948	0.532829	0.610506
1062	0.669767	0.866479	0.674586	0.396386	0.427528	0.542852	0.832487	0.610981	0.77953	0.467463	0.535203	0.61524
1064	0.671688	0.871331	0.678228	0.396591	0.431271	0.545085	0.83619	0.611647	0.786019	0.468129	0.540341	0.617554
1066	0.66867	0.870955	0.678619	0.396185	0.431901	0.549667	0.842961	0.608896	0.787863	0.465685	0.545088	0.616274
1068	0.671763	0.872741	0.67729	0.394515	0.425694	0.552784	0.844278	0.609063	0.786838	0.46247	0.543786	0.612071
1070	0.677839	0.878335	0.676765	0.395352	0.429504	0.553157	0.842889	0.611236	0.788631	0.462404	0.550579	0.618347
1072	0.680744	0.882034	0.678472	0.399774	0.43709	0.554793	0.843866	0.611705	0.793258	0.461845	0.54785	0.624481
1074	0.681269	0.883383	0.680449	0.404368	0.43551	0.55538	0.847115	0.617303	0.795424	0.463274	0.551732	0.620417
1076	0.684846	0.883191	0.683073	0.405958	0.435549	0.560209	0.851899	0.625722	0.798281	0.469366	0.55601	0.619859
1078	0.689256	0.884734	0.688847	0.409454	0.44057	0.566405	0.850642	0.628549	0.800083	0.475126	0.558036	0.624941
1080	0.689579	0.886501	0.691768	0.409548	0.445257	0.568144	0.848254	0.632384	0.803698	0.474892	0.560052	0.624437
1082	0.683205	0.8857	0.689222	0.407191	0.449317	0.568447	0.847274	0.632727	0.801912	0.474266	0.557911	0.62525
