Wavenumber	60 nm PMMA av. (N=3) - 0.9* H2O correct
1671.99	0.00162733
1673.9200000000001	0.00160167
1675.8499999999999	0.001674
1677.78	0.00179667
1679.7	0.001852
1681.6300000000001	0.00178967
1683.5599999999999	0.001703
1685.49	0.00172
1687.4200000000001	0.001797
1689.3499999999999	0.00183
1691.27	0.00182167
1693.2	0.00178367
1695.1300000000001	0.00170567
1697.0599999999999	0.00162833
1698.99	0.00161533
1700.9200000000001	0.00165867
1702.8499999999999	0.00170333
1704.77	0.00174467
1706.7	0.001849
1708.6300000000001	0.00205267
1710.5599999999999	0.00231967
1712.49	0.002613
1714.4200000000001	0.00293333
1716.3399999999999	0.00336367
1718.27	0.00401867
1720.2	0.004865
1722.1300000000001	0.00577267
1724.0599999999999	0.00671833
1725.99	0.007727
1727.9200000000001	0.00872467
1729.8399999999999	0.00961533
1731.77	0.0104213
1733.7	0.011262
1735.6300000000001	0.0120953
1737.5599999999999	0.0126343
1739.49	0.0126153
1741.4100000000001	0.0119567
1743.3399999999999	0.0107267
1745.27	0.009089669999999999
1747.2	0.00728667
1749.1300000000001	0.005597
1751.0599999999999	0.00422933
1752.99	0.00328267
1754.9100000000001	0.002726
1756.8399999999999	0.00242833
1758.77	0.00223867
1760.7	0.00209533
1762.6300000000001	0.00201767
1764.5599999999999	0.00199733
1766.49	0.001947
1768.4100000000001	0.001818
1770.3399999999999	0.00166967
1772.27	0.001605
1774.2	0.00164733
1776.1300000000001	0.00171433
1778.0599999999999	0.00174867
1779.98	0.00175633
1781.9100000000001	0.00174967
1783.8399999999999	0.001724
1785.77	0.001677
1787.7	0.00162767
1789.6300000000001	0.001621
1791.5599999999999	0.00167767
1793.48	0.001769
1795.4100000000001	0.00183833
1797.3399999999999	0.00183233
1799.27	0.00177367
1801.2	0.00175667
1803.1300000000001	0.0018
1805.05	0.001815
1806.98	0.00175133
1808.9100000000001	0.00167467
1810.8399999999999	0.001661
1812.77	0.001676
1814.7	0.00164733
1816.6300000000001	0.001597
1818.55	0.001592
1820.48	0.00161267
1822.4100000000001	0.00159633
1824.3399999999999	0.00154333
1826.27	0.00151
1828.2	0.00153
1830.1199999999999	0.001577
1832.05	0.00161633
1833.98	0.001628
1835.9100000000001	0.00160667
1837.8399999999999	0.00157533
1839.77	0.00156467
1841.7	0.00155767
1843.6199999999999	0.00152
1845.55	0.00148933
1847.48	0.00153
1849.4100000000001	0.001607
1851.3399999999999	0.00167333
1853.27	0.001748
1855.2	0.00179667
1857.1199999999999	0.001752
1859.05	0.001651
1860.98	0.00157667
1862.9100000000001	0.00154
1864.8399999999999	0.00151867
1866.77	0.00152733
1868.6900000000001	0.00160567
1870.6199999999999	0.00172833
1872.55	0.001817
1874.48	0.00183333
1876.4100000000001	0.00179267
1878.3399999999999	0.00172133
1880.27	0.001666
1882.1900000000001	0.001649
1884.1199999999999	0.00164267
1886.05	0.00161433
1887.98	0.00158933
1889.9100000000001	0.00163333
1891.8399999999999	0.001752
1893.76	0.00184867
1895.6900000000001	0.00183
1897.6199999999999	0.00173667
1899.55	0.001682
1901.48	0.00167967
1903.4100000000001	0.001673
1905.3399999999999	0.00166067
1907.26	0.00165033
1909.1900000000001	0.00159333
1911.1199999999999	0.001514
1913.05	0.00148033
1914.98	0.00146967
1916.9100000000001	0.00145433
1918.8299999999999	0.00145933
1920.76	0.001481
1922.6900000000001	0.00152433
1924.6199999999999	0.00159333
1926.55	0.00160333
1928.48	0.00152067
1930.4100000000001	0.00146
1932.3299999999999	0.00149167
1934.26	0.00154333
1936.1900000000001	0.00155467
1938.1199999999999	0.00154467
1940.05	0.00152867
1941.98	0.00149167
1943.9100000000001	0.001433
1945.8299999999999	0.00137667
1947.76	0.00135667
1949.6900000000001	0.00139967
1951.6199999999999	0.00146333
1953.55	0.00146967
1955.48	0.00141733
1957.4000000000001	0.001374
1959.3299999999999	0.001351
1961.26	0.001324
1963.1900000000001	0.00131767
1965.1199999999999	0.001363
1967.05	0.00143467
1968.98	0.00149267
1970.9000000000001	0.00151867
1972.8299999999999	0.00149667
1974.76	0.00145
1976.6900000000001	0.00142433
1978.6199999999999	0.00140833
1980.55	0.00136367
1982.47	0.001315
1984.4000000000001	0.00132567
1986.3299999999999	0.00137867
1988.26	0.00141033
1990.1900000000001	0.00139333
1992.1199999999999	0.00134533
1994.05	0.001322
1995.97	0.00135533
1997.9000000000001	0.00140233
1999.8299999999999	0.00141733
2001.76	0.00140167
2003.6900000000001	0.001365
2005.6199999999999	0.00129967
2007.54	0.001232
2009.47	0.00121667
2011.4000000000001	0.00123967
2013.3299999999999	0.00123
2015.26	0.00119
2017.1900000000001	0.00119767
2019.1199999999999	0.00125467
2021.04	0.00127133
2022.97	0.00120867
2024.9000000000001	0.001133
2026.8299999999999	0.00110367
2028.76	0.00111567
2030.6900000000001	0.001127
2032.6199999999999	0.00110767
2034.54	0.001057
2036.47	0.00101667
2038.4000000000001	0.00101233
2040.3299999999999	0.001011
2042.26	0.0009896670000000001
2044.1900000000001	0.0009886669999999999
2046.1099999999999	0.00103767
2048.04	0.00111467
2049.9699999999998	0.001164
2051.9000000000001	0.00115
2053.8299999999999	0.00110133
2055.7600000000002	0.001064
2057.6900000000001	0.00103367
2059.6100000000001	0.00100833
2061.54	0.00101367
2063.4699999999998	0.00105167
2065.4000000000001	0.001093
