1	#2/CaF2_002_SG355	#3/CaF2_002_SG355	#6/CaF2_002_SG355	#7/CaF2_002_SG355	#8/CaF2_002_SG355
895	0,754179	2,325255545824242	1,568456558225818	1,434719507588538	0,4181585567934064
896	0,764262	2,726001180135218	1,614710037403948	1,753926516671497	0,4919809429990841
897	0,828943	3,13539555302949	1,572572238657458	1,968664748440794	0,5318805326856991
898	0,793147	3,011949258016689	1,41975302232706	2,247981573986559	0,5601392561879815
899	0,833395	2,842028521707356	1,324989875115664	2,611675231685603	0,6166034957948803
900	0,827386	2,768549728000206	1,366948492470025	3,02658693423417	0,6470578452953594
901	0,873943	2,821585834009618	1,613633123068007	3,551012974385472	0,6482606589683606
902	0,786562	2,843093881598287	1,721118582944083	3,590320924455878	0,6358689600461342
903	0,819179	2,954367139411142	1,68026738368346	3,702155809676225	0,5867137015663897
904	0,87199	2,714581547032025	1,556219658565675	3,42445500977114	0,5346040233202228
905	0,903041	3,006953693947926	1,590202003829587	3,339057153130057	0,5094040028849668
906	0,882879	3,162602486671898	1,652586416308008	3,308005250141809	0,4986207074984387
907	0,809531	3,136881868748178	1,580060123206241	3,135055601471989	0,5062185102989808
908	0,705109	3,156282059508035	1,447946989591256	2,977321590113297	0,5280413210439241
909	0,637883	3,195868488041414	1,217084235488484	2,713513497714662	0,5597668687636719
910	0,604023	3,123331116839156	1,063032312566544	2,625233651228362	0,5325960344695528
911	0,713148	3,054025100134084	1,143672986956108	2,599697168083125	0,5163095869027333
912	0,664983	3,068906791105905	1,213619739035446	2,401339226133731	0,4610214659396332
913	0,846972	3,58210170357752	1,269857562677677	2,723253071921755	0,4469253070053196
914	0,881482	3,550297206927341	1,328258001145478	2,764447034611197	0,4606781446999151
915	1,0175	3,906672483668127	1,610402569888989	2,962129616263197	0,4986403344687174
916	1,12228	3,956843594680969	1,938111935446262	3,001945481403855	0,5276322639771112
917	1,15564	4,00543459892868	2,018308066850981	2,904734087951629	0,5634565314935515
918	1,17114	4,201868007351567	1,973088837206494	2,660072875068503	0,5588972530060194
919	1,14694	4,076326031092986	1,774206600669836	2,225381945540182	0,5486495344684729
920	1,12162	3,667487903728745	1,61778699676831	2,018837993247955	0,5046073756611427
921	1,09116	3,256183799641319	1,559439307491684	1,779405052863794	0,4830605346668861
922	0,971217	2,831132246051715	1,330338014981833	1,538918371078552	0,4493877440565638
923	0,950891	2,866722793634013	1,276459276166272	1,444236908398712	0,4657049889474311
924	0,743125	2,351570537696666	1,136949483168932	1,348253943724631	0,4755892656099397
925	0,768026	2,213293988557567	1,184916722937024	1,302467809613716	0,4877724446244763
926	0,750904	2,145215325676603	1,28172074095489	1,312414788298297	0,4926676884431099
927	0,717596	1,931871974622305	1,228026713671392	1,103716314811191	0,4559095403447128
928	0,807437	2,00252967561156	1,268099822346433	0,9965935647967376	0,4593704389637245
929	0,904429	1,935828794279797	1,287875016172125	0,9390797899034605	0,4752558329915291
930	0,981078	1,726018561412094	1,343181713942873	0,9830625274206001	0,4485100392641581
931	1,07553	1,650505055216895	1,340578700104074	0,9454305801919481	0,4100670898669922
932	1,10268	1,52258873353547	1,372405630064762	0,86939561797639	0,3755352574119687
933	1,02672	1,557184635757142	1,428166577709675	0,7870909237266872	0,3913827862494507
934	0,996696	1,382764989533852	1,390143487721467	0,7670498092576533	0,3850344163155481
935	0,986156	1,253110962114784	1,312657023961984	0,7782206414221956	0,3927211584593159
936	0,855992	1,126450261251297	1,225095098321756	0,7040785091229476	0,3628359192547811
937	0,762649	1,02198893805783	1,279608917340302	0,553094194656549	0,3653575835063984
938	0,832797	1,107961587400188	1,279737277058715	0,5288388059856853	0,4298539217674629
939	0,85818	1,028563490290818	1,26213877827795	0,5062980151403644	0,4306046178011794
940	0,942159	0,9877592023166606	1,259555837744597	0,4197243767710574	0,4451201931055437
941	1,01894	1,065662736580825	1,308405590873241	0,4009415915405297	0,4338108735032175
942	1,13181	1,060852455521093	1,29988256778573	0,4112005638509259	0,4569962168062423
943	1,23044	1,186342543102128	1,424477109248581	0,4150939812332304	0,4958921688934786
944	1,34053	1,254703958800164	1,413038439299616	0,3940288398684005	0,476915024602231
945	1,33206	1,221316555207007	1,494899987983037	0,4442142841382663	0,4711692877835575
946	1,14228	1,171973486818346	1,460499360017255	0,4459351248411734	0,4237368161683276
947	1,08812	1,088700749379534	1,506485923200562	0,4933358741513365	0,417618512681848
948	1,07607	1,052257557731768	1,518568687541212	0,5238298493311287	0,391617296725509
949	0,954462	0,8950789239696264	1,53867943578651	0,5015810611937368	0,3565495177919893
950	0,888942	0,7502049120664417	1,489011494648252	0,4560307763547899	0,3788741348708388
951	0,900665	0,6627437062722699	1,560680677223771	0,4067712854223163	0,3788128963554628
952	0,970364	0,6145924617082087	1,455086926819219	0,4429386236922769	0,3861748124384987
953	0,93999	0,6120286635459197	1,458312755983382	0,3833290787383022	0,3686312831575185
954	0,889003	0,7131796710587736	1,408095587673559	0,3469359708499972	0,3544491096004012
955	0,876208	0,8056627008181334	1,52072019500486	0,3919468575114841	0,3544227594138701
956	0,781719	0,9414535719068734	1,474419764152909	0,4432320722895626	0,3312645628106459
957	0,79384	0,9944120105149266	1,424549216364854	0,528660471707285	0,3324039490696394
958	0,833807	1,067718929055699	1,407632955867661	0,5747785938404569	0,2877712364108915
959	0,865644	1,095368309147738	1,390506354163269	0,5958223484914	0,2990442260785968
960	0,89946	1,070307347246481	1,434748051609487	0,6151252750916552	0,3150397580282284
961	0,967512	1,005787147546429	1,465024705350191	0,580982243640627	0,3240068580293199
962	0,99038	0,9406343869062901	1,364316466802544	0,6000999011746909	0,3065429595416331
963	0,952196	0,7976433444696485	1,310356850157792	0,5525873314624735	0,2981425036493307
