Wavenumber	580nm1	580nm2	580nm3	580 nm av. (N=3)	600nm1	600nm2	600nm3	600nm av. (N=3)	600nm2_1	600nm2_2	600nm2_3	600nm control sample av. (N=3)	700nm1	700nm2	700nm3	700 nm av. (N=3)	800nm1	800nm2	800nm3	800 nm av. (N=3)	900nm1	900nm2	900nm3	900 nm av. (N=3)	2000nm1	2000nm2	2000nm3	2000 nm av. (N=3)	60nm1	60nm2	60nm3	60 nm PMMA av. (N=3)	H2O Korrektur	60 nm PMMA av. (N=3) - 0.9* H2O correction spectrum
794,533	-0,004723	-0,006722	-0,006572	-0,00600567	-0,00402	-0,000989	0,003217	-0,000597333	-0,002582	-0,00209	-0,002235	-0,00230233	-0,00772	-0,007449	-0,006966	-0,00737833	-0,00837	-0,008792	-0,008824	-0,008662	-0,009402	-0,009294	-0,009203	-0,00929967	-0,000624	-0,00098	-0,00079	-0,000798	0,000652	0,000315	0,000579	0,000515333	-0,000936	0,00145133
796,461	-0,004438	-0,006572	-0,006383	-0,00579767	-0,003918	-0,000925	0,003467	-0,000458667	-0,002293	-0,001979	-0,00215	-0,00214067	-0,007599	-0,007299	-0,006854	-0,00725067	-0,008159	-0,008396	-0,008726	-0,008427	-0,009062	-0,009123	-0,008686	-0,008957	0,001446	0,001225	0,001357	0,00134267	0,000645	0,000426	0,000659	0,000576667	-0,000812	0,00138867
798,39	-0,004317	-0,006507	-0,006409	-0,00574433	-0,00374	-0,001006	0,00373	-0,000338667	-0,002011	-0,001954	-0,002162	-0,00204233	-0,007581	-0,007114	-0,006662	-0,007119	-0,007848	-0,008089	-0,008506	-0,00814767	-0,008673	-0,008834	-0,008184	-0,00856367	0,004042	0,003798	0,003868	0,00390267	0,000597	0,000546	0,000804	0,000649	-0,000725	0,001374
800,318	-0,004223	-0,006409	-0,006439	-0,00569033	-0,003468	-0,001003	0,003941	-0,000176667	-0,001823	-0,001808	-0,002026	-0,00188567	-0,007488	-0,006899	-0,00643	-0,006939	-0,007507	-0,007885	-0,008084	-0,00782533	-0,008187	-0,008283	-0,007764	-0,008078	0,007211	0,006716	0,006909	0,00694533	0,000649	0,00063	0,000851	0,00071	-0,000687	0,001397
802,247	-0,004061	-0,006139	-0,006276	-0,005492	-0,003097	-0,00075	0,004158	0,000103667	-0,001617	-0,001451	-0,001714	-0,001594	-0,007236	-0,00661	-0,006058	-0,00663467	-0,007139	-0,007589	-0,007609	-0,00744567	-0,007589	-0,007487	-0,007406	-0,007494	0,010907	0,010165	0,010565	0,0105457	0,000841	0,000562	0,000762	0,000721667	-0,00075	0,00147167
804,175	-0,003791	-0,005743	-0,005927	-0,00515367	-0,002594	-0,000349	0,004428	0,000495	-0,00129	-0,000996	-0,001358	-0,00121467	-0,006882	-0,006216	-0,005486	-0,00619467	-0,006635	-0,007095	-0,00722	-0,00698333	-0,006857	-0,006611	-0,006992	-0,00682	0,014981	0,014322	0,01475	0,0146843	0,001108	0,000412	0,000704	0,000741333	-0,000817	0,00155833
806,104	-0,003417	-0,005335	-0,005487	-0,00474633	-0,002093	-1,7e-05	0,004717	0,000869	-0,000948	-0,000557	-0,000963	-0,000822667	-0,006532	-0,005748	-0,004933	-0,00573767	-0,005949	-0,0065	-0,00684	-0,00642967	-0,00601	-0,005784	-0,006413	-0,006069	0,019071	0,018838	0,019103	0,019004	0,001396	0,000343	0,000858	0,000865667	-0,000694	0,00155967
808,032	-0,003093	-0,005028	-0,005054	-0,00439167	-0,001828	0,000156	0,004975	0,001101	-0,000781	-0,000237	-0,000621	-0,000546333	-0,006271	-0,005337	-0,004604	-0,005404	-0,005326	-0,006012	-0,006434	-0,005924	-0,005361	-0,005212	-0,005792	-0,005455	0,022307	0,022466	0,022631	0,022468	0,001601	0,000366	0,001189	0,001052	-0,00044	0,001492
809,96	-0,003	-0,004993	-0,004793	-0,004262	-0,001885	0,000221	0,005119	0,00115167	-0,000831	-0,000165	-0,000596	-0,000530667	-0,006191	-0,005168	-0,004479	-0,00527933	-0,005129	-0,005846	-0,006216	-0,00573033	-0,005344	-0,00518	-0,0055	-0,00534133	0,023377	0,023598	0,023832	0,0236023	0,00162	0,000405	0,001468	0,00116433	-0,000316	0,00148033
811,889	-0,00318	-0,005338	-0,004887	-0,00446833	-0,002182	0,000221	0,005017	0,00101867	-0,001024	-0,000372	-0,000961	-0,000785667	-0,006355	-0,005354	-0,004585	-0,00543133	-0,005466	-0,006069	-0,006412	-0,00598233	-0,005975	-0,005719	-0,005775	-0,005823	0,021523	0,021539	0,021862	0,0216413	0,001436	0,000441	0,001555	0,001144	-0,000414	0,001558
