wavenumber (cm-1)	CaF2 Substrat	Pery1	Pery2	Pery3	Pery3-1	Pery4	Pery5	TPCA1	TPCA2
3840.63605	0.68204	0.65879	0.53879	0.00154	0.61892	0.55953	0.62643	0.66878	0.67343
3839.67179	0.68257	0.65928	0.5389	0.00128	0.61932	0.5591699999999999	0.6266699999999999	0.6690700000000001	0.6738499999999999
3838.70754	0.68236	0.65879	0.53888	0.00169	0.61927	0.55937	0.62626	0.66848	0.67355
3837.74328	0.68209	0.65876	0.5379	0.00178	0.62029	0.55818	0.6257	0.66892	0.674
3836.77902	0.68279	0.65973	0.53798	0.00061	0.62141	0.55807	0.62637	0.67022	0.67516
3835.81476	0.68266	0.65947	0.53872	0.00083	0.62058	0.55909	0.62651	0.66977	0.6746799999999999
3834.85051	0.68226	0.65908	0.53851	0.00103	0.62003	0.55885	0.6262	0.66931	0.6742899999999999
3833.88625	0.6823399999999999	0.6593599999999999	0.53832	0.0011	0.61999	0.55869	0.62666	0.66942	0.67444
3832.92199	0.68201	0.65909	0.53866	0.00083	0.61909	0.55949	0.62681	0.66869	0.67349
3831.95774	0.68181	0.6588000000000001	0.53845	0.0005999999999999999	0.61883	0.55946	0.62616	0.66826	0.67282
3830.99348	0.68259	0.65917	0.53788	0.00081	0.62014	0.55863	0.62607	0.6693	0.67409
3830.02922	0.68287	0.65889	0.53795	0.00082	0.62026	0.55867	0.62647	0.66955	0.67475
3829.06496	0.68255	0.65822	0.53831	0.00074	0.61934	0.55927	0.62653	0.6688499999999999	0.67423
3828.10071	0.68241	0.65805	0.53861	0.00126	0.6188	0.55991	0.6265500000000001	0.66843	0.6736799999999999
3827.13645	0.6823399999999999	0.65834	0.53846	0.00154	0.61899	0.55991	0.62653	0.66865	0.67339
3826.17219	0.68241	0.65869	0.53815	0.00127	0.61976	0.55921	0.62645	0.6692900000000001	0.67357
3825.20794	0.68268	0.65885	0.53849	0.00087	0.62015	0.55927	0.62661	0.6695	0.67396
3824.24368	0.68275	0.65891	0.53904	0.0008	0.61996	0.56011	0.6269400000000001	0.6692900000000001	0.67408
3823.27942	0.6825599999999999	0.659	0.53966	0.00071	0.6195000000000001	0.56118	0.62719	0.66893	0.67378
3822.31517	0.68207	0.6590200000000001	0.54045	0.0009	0.6190099999999999	0.56202	0.62685	0.66832	0.6731
3821.35091	0.68177	0.65947	0.54008	0.00243	0.62013	0.5604	0.62561	0.66869	0.67333
