Wavenumber (cm^-1)	Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF (V)	Valid:Intensity profile for Laser = Laser wrapper [Q0259] - LaserTune LT-OEM [Q0259]: PiF
954.15137614678	4.64278631218687e-4	1
955.146788990817	4.71918636455707e-4	1
956.142201834854	4.45390924144746e-4	0
957.13761467889	4.46417822759576e-4	1
958.133027522927	4.28825031827503e-4	1
959.128440366964	4.31914761970658e-4	1
960.123853211	4.32559208608703e-4	1
961.119266055037	4.53566964435842e-4	1
962.114678899074	4.32131585138598e-4	0
963.11009174311	4.24901134774355e-4	1
964.105504587147	4.28532922837361e-4	1
965.100917431183	4.31312475393045e-4	0
966.09633027522	4.42120508028308e-4	1
967.091743119257	4.33224735276966e-4	1
968.087155963293	4.09883118961577e-4	1
969.08256880733	4.16863620396111e-4	1
970.077981651367	4.26352645426402e-4	1
971.073394495403	4.19161343689704e-4	0
972.06880733944	4.19161343689704e-4	1
973.064220183477	4.12325391033798e-4	1
974.059633027513	4.13427575470829e-4	1
975.05504587155	3.94184519316097e-4	1
976.050458715587	4.13810027447613e-4	1
977.045871559623	4.00680180055652e-4	1
978.04128440366	4.03155577889641e-4	1
979.036697247697	3.79515829718334e-4	1
980.032110091733	3.68792117203937e-4	1
981.02752293577	3.71791504360449e-4	0
982.022935779807	3.71526498266299e-4	1
983.018348623843	3.63991893180362e-4	0
984.01376146788	3.54849182932198e-4	1
985.009174311917	3.50994548835475e-4	1
986.004587155953	3.42417987970267e-4	0
986.99999999999	3.42417987970267e-4	0
989	3.1277344262016e-4	1
989.997229916898	3.05154517413357e-4	0
990.994459833795	3.15239806155485e-4	1
991.991689750692	3.12577699482436e-4	1
992.98891966759	3.35786812750749e-4	0
993.986149584488	3.22277524814892e-4	1
994.983379501385	3.17938050023191e-4	1
995.980609418282	3.30260833401151e-4	1
996.97783933518	3.35856075707175e-4	1
997.975069252077	3.29113477470798e-4	0
